,,03583,Aalfang,"3860, 3872",30902,Amaliendorf-Aalfang
,,14194,Aberg,5761,50612,Maria Alm am Steinernen Meer
,,07461,Abern,5225,40416,Jeging
,,03181,Abetzberg,3361,30504,Aschbach-Markt
,,05199,Abfaltersbach,2640,31810,Gloggnitz
,,16762,Abfaltersbach,9913,70701,Abfaltersbach
,,02687,Abriach,9132,20806,Gallizien
,,16467,Absam,6067,70301,Absam
,,03609,Abschlag,3972,30910,Bad Großpertholz
,,06228,Absdorf,3462,32101,Absdorf
,,05843,Absdorf,3125,31940,Statzendorf
,,10480,Abstätten,4941,41214,Mehrnbach
,,06229,Abstetten,3441,32131,Sieghartskirchen
,,02688,Abtei,9132,20806,Gallizien
,,13583,Abtenau,5441,50201,Abtenau
,,14912,Abtissendorf,"8073, 8401",60608,Feldkirchen bei Graz
,,12389,Abtsdorf,4864,41702,Attersee am Attersee
,,02133,Abwerzg,9863,20632,Rennweg am Katschberg
,,10097,Abwinden,"4225, 4481",41110,Luftenberg an der Donau
,,07626,Ach,5222,40426,Munderfing
,,12147,Ach,4101,41606,Feldkirchen an der Donau
,,07414,Ach,5122,40414,Hochburg-Ach
,,13461,Ach,4632,41816,Pichl bei Wels
,,03005,Achalm,"9473, 9472",20909,Lavamünd
,,13666,Acharting,5102,50302,Anthering
,,10068,Achatzberg,4352,41107,Klam
,,05140,Achau,2481,31701,Achau
,,16984,Achenkirch,6215,70901,Achenkirch
,,07627,Achenlohe,5222,40426,Munderfing
,,07854,Aching,5280,40438,St. Peter am Hart
,,07175,Aching,5280,40404,Braunau am Inn
,,10398,Aching,4921,41209,Hohenzell
,,16711,Achleit,6320,70528,Angerberg
,,11507,Achleiten,4092,41409,Esternberg
,,01328,Achleiten,4752,41416,Riedau
,,11745,Achleiten,4784,41423,Schardenberg
,,09853,Achleiten,"4550, 4532",41009,Kematen an der Krems
,,13348,Achleiten,4631,41810,Krenglbach
,,00438,Achleiten,9631,20305,Hermagor-Pressegger See
,,09240,Achleiten,4722,40817,Neukirchen am Walde
,,09271,Achleiten,4722,40835,Peuerbach
,,10231,Achleiten,4381,41121,St. Nikola an der Donau
,,01189,Achleiten,4212,40612,Neumarkt im Mühlkreis
,,12726,Achleithen,4901,41722,Ottnang am Hausruck
